ZipCode,Population,case_count_cumulative,case_count_last_30_days,case_count_last_14_days,case_count_per_100K_cumulative,case_count_per_100K_last_30_days,case_count_per_100K_last_14_days,population_density,num_universities,num_uni_students
43001,2810,85,37,19,3024.9,1316.7,676.2,92.6,0,0
43002,3744,None,None,None,None,None,None,2763.0,0,0
43003,3005,52,34,19,1730.4,1131.4,632.3,67.7,0,0
43004,26139,1362,494,212,5210.6,1889.9,811,1874.8,0,0
43005,201,None,None,None,None,None,None,185.8,0,0
43006,655,13,11,None,1984.7,1679.4,None,29.4,0,0
43007,None,None,None,None,None,None,None,None,0,0
43008,2614,60,36,20,2295.3,1377.2,765.1,1258.5,0,0
43009,2453,39,25,13,1589.9,1019.2,530,59.0,0,0
43010,260,11,None,None,4230.8,None,None,1511.4,0,0
43011,7722,173,79,43,2240.4,1023.1,556.9,93.6,0,0
43013,809,31,14,5,3831.9,1730.5,618,50.1,0,0
43014,3507,78,50,14,2224.1,1425.7,399.2,54.6,0,0
43015,55462,1673,855,466,3016.5,1541.6,840.2,394.4,1,1734
43016,36260,1367,617,285,3770.0,1701.6,786,1885.0,0,0
43017,40649,1598,672,282,3931.2,1653.2,693.7,2270.2,0,0
43018,None,None,None,None,None,None,None,None,0,0
43019,9295,205,106,38,2205.5,1140.4,408.8,90.8,0,0
43021,12327,413,189,92,3350.4,1533.2,746.3,283.1,0,0
43022,4500,45,23,5,1000.0,511.1,111.1,98.2,1,1662
43023,13864,356,142,68,2567.8,1024.2,490.5,241.9,1,2278
43025,5100,147,67,26,2882.4,1313.7,509.8,164.4,0,0
43026,62169,2476,1027,469,3982.7,1651.9,754.4,1644.8,0,0
43027,None,None,None,None,None,None,None,None,0,0
43028,8335,213,139,39,2555.5,1667.7,467.9,144.0,0,0
43029,563,16,8,None,2841.9,1421.0,None,26.7,0,0
43030,113,6,None,None,5309.7,None,None,2613.1,0,0
43031,13408,361,183,69,2692.4,1364.9,514.6,138.6,0,0
43032,19,None,None,None,None,None,None,2599.4,0,0
43033,298,10,5,None,3355.7,1677.9,None,921.4,0,0
43035,27011,938,379,192,3472.7,1403.1,710.8,1151.5,0,0
43036,270,11,None,None,4074.1,None,None,1233.9,0,0
43037,301,8,6,None,2657.8,1993.4,None,79.5,0,0
43040,34169,1426,793,277,4173.4,2320.8,810.7,191.7,0,0
43041,None,None,None,None,None,None,None,None,0,0
43044,4866,137,78,29,2815.5,1603.0,596,66.5,0,0
43045,1982,45,32,11,2270.4,1614.5,555,45.1,0,0
43046,3812,118,61,23,3095.5,1600.2,603.4,135.4,0,0
43047,None,None,None,None,None,None,None,None,0,0
43048,None,None,None,None,None,None,None,None,0,0
43050,28508,724,423,178,2539.6,1483.8,624.4,181.5,1,2317
43054,26953,903,366,151,3350.3,1357.9,560.2,1079.7,0,0
43055,61904,1991,984,421,3216.3,1589.6,680.1,529.2,1,3567
43056,19039,610,321,119,3203.9,1686.0,625,205.9,0,0
43058,None,None,None,None,None,None,None,None,0,0
43060,2809,50,29,9,1780.0,1032.4,320.4,96.8,0,0
43061,4278,126,77,42,2945.3,1799.9,981.8,86.5,0,0
43062,29460,1163,484,212,3947.7,1642.9,719.6,348.8,0,0
43064,14243,522,238,111,3665.0,1671.0,779.3,129.6,0,0
43065,42782,1299,530,256,3036.3,1238.8,598.4,1372.7,0,0
43066,1239,29,14,7,2340.6,1129.9,565,36.2,0,0
43067,1458,41,30,10,2812.1,2057.6,685.9,34.7,0,0
43068,55225,2854,1097,421,5167.9,1986.4,762.3,2783.9,0,0
43070,159,9,7,7,5660.4,4402.5,4402.5,779.3,0,0
43071,1986,79,46,24,3977.8,2316.2,1208.5,68.2,0,0
43072,5701,146,75,29,2561.0,1315.6,508.7,76.7,0,0
43073,None,None,None,None,None,None,None,None,0,0
43074,13229,355,174,90,2683.5,1315.3,680.3,136.4,0,0
43076,8421,331,112,64,3930.6,1330.0,760,118.8,0,0
43077,369,10,None,None,2710.0,None,None,1753.1,0,0
