Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
45883,Saint Henry,OH,40.413734,-84.6325,-5,1,"40.413734, -84.6325"
44331,Paint,OH,40.683695,-81.674717,-5,1,"40.683695, -81.674717"
44615,Carrollton,OH,40.568568,-81.08187,-5,1,"40.568568, -81.08187"
44665,North Georgetown,OH,40.843563,-80.979435,-5,1,"40.843563, -80.979435"
43837,Port Washington,OH,40.314481,-81.49751,-5,1,"40.314481, -81.49751"
44859,Nova,OH,41.019566,-82.33622,-5,1,"41.019566, -82.33622"
43567,Wauseon,OH,41.5615,-84.15574,-5,1,"41.5615, -84.15574"
43067,Raymond,OH,40.355958,-83.46681,-5,1,"40.355958, -83.46681"
45815,Belmore,OH,41.153855,-83.941281,-5,1,"41.153855, -83.941281"
43111,Carbon Hill,OH,39.501342,-82.24434,-5,1,"39.501342, -82.24434"
43232,Columbus,OH,39.924213,-82.86563,-5,1,"39.924213, -82.86563"
43657,Toledo,OH,41.686778,-83.43943,-5,1,"41.686778, -83.43943"
44255,Mantua,OH,41.286755,-81.22911,-5,1,"41.286755, -81.22911"
45125,Union,OH,39.104387,-84.232422,-5,1,"39.104387, -84.232422"
45832,Convoy,OH,40.929839,-84.73138,-5,1,"40.929839, -84.73138"
43701,Zanesville,OH,39.949377,-82.00492,-5,1,"39.949377, -82.00492"
45040,Mason,OH,39.344258,-84.3152,-5,1,"39.344258, -84.3152"
43101,Adelphi,OH,39.466041,-82.7457,-5,1,"39.466041, -82.7457"
43127,Haydenville,OH,39.482096,-82.32798,-5,1,"39.482096, -82.32798"
45340,Maplewood,OH,40.372607,-84.05113,-5,1,"40.372607, -84.05113"
45378,Verona,OH,39.903161,-84.48822,-5,1,"39.903161, -84.48822"
45746,Macksburg,OH,39.627217,-81.45532,-5,1,"39.627217, -81.45532"
45848,Glandorf,OH,41.096421,-84.112031,-5,1,"41.096421, -84.112031"
43360,Zanesfield,OH,40.327984,-83.66884,-5,1,"40.327984, -83.66884"
45135,Leesburg,OH,39.34446,-83.54825,-5,1,"39.34446, -83.54825"
44238,Hudson,OH,41.128705,-81.53999,-5,1,"41.128705, -81.53999"
