Rank,City,Population,County
1,Columbus,898553,Franklin County
2,Cleveland,381009,Cuyahoga County
3,Cincinnati,303940,Hamilton County
4,Toledo,272779,Lucas County
5,Akron,197597,Summit County
6,Dayton,140407,Montgomery County
7,Parma,78103,Cuyahoga County
8,Canton,70447,Stark County
9,Youngstown,65469,Mahoning County
10,Lorain,63855,Lorain County
11,Hamilton,62082,NaaC
12,Springfield,58877,NaaC
13,Kettering,54855,NaaC
14,Elyria,53757,NaaC
15,Newark,50315,NaaC
16,Lakewood,49678,NaaC
17,Cuyahoga Falls,49106,NaaC
18,Dublin,49037,NaaC
19,Middletown,48807,NaaC
20,Beavercreek,47741,NaaC
21,Mentor,47262,NaaC
22,Mansfield,46599,NaaC
23,Euclid,46550,NaaC
24,Strongsville,44660,NaaC
25,Cleveland Heights,43992,NaaC
26,Fairfield,42558,NaaC
27,Grove City,41820,NaaC
28,Delaware,41283,NaaC
29,Findlay,41225,NaaC
30,Westerville,41103,NaaC
31,Lancaster,40505,NaaC
32,Warren,38752,NaaC
33,Reynoldsburg,38327,NaaC
34,Huber Heights,38154,NaaC
35,Lima,36659,NaaC
36,Hilliard,36534,NaaC
37,Marion,35883,NaaC
38,Gahanna,35483,NaaC
39,Upper Arlington,35366,NaaC
40,Brunswick,34880,NaaC
41,Stow,34785,NaaC
42,Boardman,34557,NaaC
43,North Ridgeville,34392,NaaC
44,Fairborn,33876,NaaC
45,Mason,33870,NaaC
46,Massillon,32584,NaaC
47,Westlake,32032,NaaC
48,Bowling Green,31504,NaaC
49,North Olmsted,31341,NaaC
50,North Royalton,30068,NaaC
51,Kent,29646,NaaC
52,Austintown,28386,NaaC
53,Garfield Heights,27448,NaaC
54,Shaker Heights,27027,NaaC
55,Xenia,26947,NaaC
56,Wooster,26394,NaaC
57,Troy,26281,NaaC
58,Medina,25956,NaaC
59,Barberton,25953,NaaC
60,Green,25752,NaaC
61,Zanesville,25158,NaaC
62,Riverside,25133,NaaC
63,Marysville,24667,NaaC
