Rank,Zip Code,Population
1,45011,"71,451"
2,43123,"65,442"
3,44035,"63,318"
4,44256,"62,916"
5,43026,"62,169"
6,43055,"61,904"
7,43081,"61,572"
8,43130,"61,259"
9,44060,"60,476"
10,43230,"58,167"
11,45140,"56,933"
12,45601,"56,753"
13,44077,"56,353"
14,45840,"55,820"
15,43701,"55,595"
16,43015,"55,462"
17,43068,"55,225"
18,45044,"54,680"
19,45040,"54,507"
20,43228,"54,362"
21,43302,"54,023"
22,45013,"53,933"
23,43229,"53,693"
24,45069,"51,117"
25,45424,"50,804"
26,44107,"50,666"
27,44130,"49,787"
28,43207,"47,265"
29,44646,"46,749"
30,45238,"45,614"
31,44102,"45,514"
32,43232,"45,352"
33,44691,"45,048"
34,43224,"44,678"
35,44212,"44,380"
36,45014,"43,848"
37,44111,"42,821"
38,43065,"42,782"
39,43235,"42,673"
40,43204,"42,463"
41,45324,"41,029"
42,43147,"41,000"
43,43017,"40,649"
44,44203,"40,442"
45,44109,"40,246"
46,45231,"40,071"
47,43615,"39,786"
48,44870,"39,597"
49,44224,"39,564"
50,44240,"39,536"
51,43551,"38,839"
52,44118,"38,833"
53,43110,"38,817"
54,45385,"38,635"
55,45036,"38,221"
56,44720,"38,080"
57,44124,"37,737"
58,44134,"37,533"
59,44105,"37,211"
60,45211,"37,201"
61,45342,"36,659"
62,43016,"36,260"
63,45373,"35,989"
64,44094,"35,755"
65,45701,"35,704"
66,44601,"34,740"
67,44120,"34,276"
68,43040,"34,169"
69,44266,"33,894"
70,43082,"33,636"
71,43213,"33,551"
72,43201,"33,455"
73,44122,"33,342"
74,44095,"33,340"
75,44121,"33,211"
76,44039,"33,018"
77,43221,"32,913"
78,44805,"32,833"
79,44512,"32,763"
80,43613,"32,653"
81,45150,"32,618"
82,45103,"32,525"
83,44145,"32,378"
84,45503,"32,363"
85,43560,"32,275"
86,43402,"32,259"
87,44281,"32,161"
88,45458,"32,068"
89,44070,"31,847"
90,43614,"31,607"
91,44004,"31,474"
92,45005,"31,371"
93,44312,"31,064"
94,45215,"30,814"
95,43219,"30,526"
96,45662,"30,289"
97,45365,"30,232"
98,44133,"30,225"
99,43420,"30,133"
100,45239,"29,809"
101,43612,"29,686"
102,43062,"29,460"
