Zip Code,Enrollment,School,Location,Control,Type,,Latitude,Longitude,County
43210,58322,Ohio State University,Columbus,Public,Doctoral/highest research university,,40.0067,-83.0305,Franklin County
45221,46224,University of Cincinnati,Cincinnati,Public,Doctoral/highest research university,,39.1329,-84.515,Hamilton County
44115,31024,Cuyahoga Community College,Cleveland,Public,Associate's college,,41.3686,-81.7648,Cuyahoga County
44240,29477,Kent State University,Kent,Public,Doctoral/higher research university,,41.1456,-81.3393,Portage County
45701,29217,Ohio University,Athens,Public,Doctoral/higher research university,,39.3244,-82.1014,Athens County
45402,28000,Sinclair Community College,Dayton,Public,Associate's college,,39.757,-84.1988,Montgomery County
43215,24664,Columbus State Community College,Columbus,Public,Associate's college,,39.9689,-82.9872,Franklin County
44325,23962,University of Akron,Akron,Public,Doctoral/higher research university,,41.077,-81.5114,Summit County
43606,20626,University of Toledo,Toledo,Public,Doctoral/higher research university,,41.6579,-83.6142,Lucas County
43551,20160,Owens Community College,Toledo and Findlay,Public,Associate's college,,41.5876,-83.5405,Lucas County
45056,18620,Miami University,Oxford,Public,Doctoral/higher research university,,39.5087,-84.7345,Butler County
43403,17959,Bowling Green State University,Bowling Green,Public,Doctoral/higher research university,,41.3798,-83.6301,Wood County
44115,17730,Cleveland State University,Cleveland,Public,Doctoral/higher research university,,41.5025,-81.6746,Cuyahoga County
45435,16842,Wright State University,Dayton,Public,Doctoral/moderate research university,,39.7846,-84.0587,Montgomery County
44720,14097,Stark State College,Canton,Public,Associate's college,,40.8701,-81.4396,Stark County
44035,12948,Lorain County Community College,Elyria,Public,Associate's college,,41.412793,-82.0726,Lorain County
44555,12503,Youngstown State University,Youngstown,Public,Master's university,,41.1066,-80.6481,Mahoning County
44106,11824,Case Western Reserve University,Cleveland,Private not-for profit,Doctoral/highest research university,,41.5043,-81.6084,Cuyahoga County
45469,11074,University of Dayton,Dayton,Private not-for profit,Doctoral/higher research university,,39.7393,-84.18,Montgomery County
45223,10707,Cincinnati State Technical and Community College,Cincinnati,Public,Associate's college,,39.1506,-84.5367,Hamilton County
44094,9831,Lakeland Community College,Kirtland and Madison,Public,Associate's college,,,,
45207,6650,Xavier University,Cincinnati,Private not-for profit,Master's university,,,,
45505,6400,Clark State Community College,Springfield,Public,Associate's college,,,,
43215,5732,Franklin University,Columbus,Private not-for profit,Special-focus institution,,,,
44805,5428,Ashland University,Ashland,Private not-for profit,Doctoral/moderate research university,,,,
45840,5172,University of Findlay,Findlay,Private not-for profit,Master's university,,,,
44906,4700,North Central State College,Mansfield,Public,Associate's college,,,,
45662,4247,Shawnee State University,Portsmouth,Public,Baccalaureate college,,,,
45314,4193,Cedarville University,Cedarville,Private not-for profit,Baccalaureate college,,,,
45805,4111,University of Northwestern Ohio,Lima,Private not-for profit,Mixed baccalaureate/associate's college,,,,
44883,4100,Tiffin University,Tiffin,Private not-for profit,Master's university,,,,
43113,4058,Ohio Christian University,Circleville,Private not-for profit,Baccalaureate college,,,,
45356,4000,Edison State Community College,Piqua,Public,Associate's college,,,,
44017,3979,Baldwin Wallace University,Berea,Private not-for profit,Master's university,,,,
44118,3709,John Carroll University,University Heights,Private not-for profit,Master's university,,,,
45810,3695,Ohio Northern University,Ada,Private not-for profit,Baccalaureate college,,,,
45804,3657,James A. Rhodes State College,Lima,Public,Associate's college,,,,
43502,3612,Northwest State Community College,Archbold,Public,Associate's college,,,,
43055,3567,Central Ohio Technical College,Newark,Public,Associate's college,,,,
43209,3494,Capital University,Bexley,Private not-for profit,Doctoral/higher research university,,,,
43420,3222,Terra State Community College,Fremont,Public,Associate's college,,,,
44074,2978,Oberlin College,Oberlin,Private not-for profit,Baccalaureate college,,,,
43219,2942,Ohio Dominican University,Columbus,Private not-for profit,Master's university,,,,
43952,2904,Eastern Gateway Community College,Steubenville and Youngstown,Public,Associate's college,,,,
43081,2791,Otterbein University,Westerville,Private not-for profit,Master's university,,,,
44720,2500,Walsh University,North Canton,Private not-for profit,Master's university,,,,
43302,2468,Marion Technical College,Marion,Public,Associate's college,,,,
45133,2462,Southern State Community College,Hillsboro,Public,Associate's college,,,,
43952,2421,Franciscan University of Steubenville,Steubenville,Private not-for profit,Master's university,,,,
43050,2317,Mount Vernon Nazarene University,Mount Vernon,Private not-for profit,Master's university,,,,
45764,2300,Hocking College,Nelsonville,Public,Associate's college,,,,
45233,2300,Mount St. Joseph University,Cincinnati,Private not-for profit,Master's university,,,,
45750,2300,Washington State Community College,Marietta,Public,Associate's college,,,,
43023,2278,Denison University,Granville,Private not-for profit,Baccalaureate college,,,,
