PopDensity,Zipcode
26766.8,43403
21756.2,44901
20844.5,44101
10379.7,45219
9531.7,43201
8696.5,44243
8174.4,43202
7976.2,44703
7740.6,44107
7500.9,45033
7375.9,43206
7071.4,45410
6837.2,43434
6704.3,45205
6688.9,43210
6671.5,44120
6514.7,44302
6424.5,44111
6390.0,45207
6321.6,44106
5901.0,45212
5844.2,43227
5776.5,44102
5592.8,44109
5570.1,44118
5474.2,44112
5445.7,43620
5392.4,43229
5345.0,44123
5305.8,43203
5294.6,44121
5266.0,43613
5211.5,44108
5180.8,43205
5176.0,45206
5172.7,45220
5067.2,43212
4953.9,44311
4870.7,44113
4800.0,44119
4782.6,44129
4749.2,44104
4682.9,43211
4668.6,45229
4668.0,44710
4658.1,43224
4594.3,45202
4576.5,45238
4574.9,45405
4507.2,44221
4487.4,43231
4476.6,44132
4461.3,45409
4448.4,44137
4438.9,45208
4411.7,43209
4378.5,44301
4376.9,44105
4354.1,45239
4320.2,44110
4256.3,43204
4253.6,43608
4220.3,44314
4167.5,45420
4125.5,45211
4083.0,44504
4078.2,45406
4009.6,44134
3988.3,45209
3905.6,45213
3881.0,44310
3879.9,44144
3877.4,43214
3762.1,45419
3754.5,43609
3726.1,43220
3710.5,44304
3691.5,43117
3691.3,43606
3644.5,45403
3640.1,44095
3638.9,43610
3574.9,44116
3572.1,44126
3568.7,44103
3548.9,44661
3516.9,43213
3504.7,45236
3465.2,44128
3455.2,45214
3431.8,43605
3379.9,43221
3365.3,44714
3346.7,43232
3339.4,45360
3317.8,44709
3314.6,45237
3306.6,44305
3298.1,44303
3282.1,44307
3271.4,43607
3207.3,45217
3203.6,43614
3200.2,45216
3192.2,43085
3162.8,45416
3139.2,44115
3126.1,44055
3118.8,45224
3084.7,44507
3062.2,45227
3022.8,44017
3019.9,43235
3011.4,43623
2947.1,43604
2943.5,45240
2939.7,44130
2892.8,43222
2864.0,45358
2822.3,43963
2810.7,45225
2799.7,44070
2795.3,45231
2783.9,43068
2763.0,43002
2746.4,44902
2745.0,44135
2740.0,43925
2733.6,44052
2721.3,44306
2690.2,45449
2683.7,44127
2673.6,45232
2641.6,44117
2634.6,44122
2628.6,43612
2613.1,43030
2612.6,43228
2605.4,45215
2599.4,43032
2590.8,44124
2551.7,43230
2548.0,45429
2509.2,44511
2488.9,44142
2463.2,45402
2454.7,43615
2431.5,44471
2420.3,45160
2383.5,44687
2370.8,44682
2369.4,44856
2358.9,44708
2352.6,45431
2326.9,45218
2326.4,44705
2309.1,43565
2284.6,44405
2270.2,43017
2260.2,43223
2260.1,43215
2240.2,44509
2228.5,43142
2217.6,44250
2214.7,43081
2210.5,44816
2206.3,44092
2199.5,45440
2198.5,44140
2134.4,43463
2131.8,44262
2121.9,44670
2120.2,45248
2107.1,44320
2099.7,45223
2098.6,45062
2086.6,43460
2047.9,45051
2046.7,45249
2041.4,45204
2041.0,44145
2034.7,44485
2028.4,44212
2019.7,45415
2016.4,45014
2003.9,44503
1992.3,44653
1982.6,45432
1977.1,44125
1973.9,43207
1973.8,45307
1970.9,44512
1965.4,45015
1965.2,45065
1949.4,45459
1903.0,43611
1895.7,44136
1885.8,44224
1885.0,43016
1881.8,45230
1874.8,43004
1850.6,45040
1837.1,44907
1836.0,45251
1835.0,45158
1826.2,45372
1815.7,44861
1790.8,44502
1783.5,45349
1773.3,45719
1762.1,45503
1760.4,45069
1756.3,43972
1753.1,43077
1746.9,45174
1733.3,44702
1729.1,44313
1723.6,44143
1712.7,45630
1691.5,45203
1687.8,44149
1681.9,43136
1672.3,45378
1669.1,43219
1654.4,44012
1652.1,45255
1649.9,45740
1644.8,43026
1628.1,44312
1599.1,45242
1597.1,44138
1591.6,45404
1585.8,45424
1580.8,45439
1567.4,44646
1563.4,45389
1543.8,45805
1542.5,43560
1529.7,45458
1526.3,44704
1523.7,45854
1517.0,43116
1514.8,44060
1511.4,43010
1506.7,45617
1503.2,45621
1492.6,45430
1490.9,43240
1484.5,43157
1478.3,45328
1476.4,44446
1473.7,45246
1467.7,44146
1467.0,44147
1454.0,43101
1445.9,44053
1442.1,45039
1434.5,45505
1430.7,44133
1429.2,44672
1429.1,45301
1419.9,44718
1411.9,44610
1410.6,43934
1401.1,44483
1399.6,43537
1387.7,45132
1372.7,43065
1369.7,45044
1363.4,43740
1360.5,45233
1360.2,44215
1353.5,44308
1347.1,43951
1342.1,43147
1334.6,43082
1327.6,44659
1320.6,44484
1318.2,44035
1309.0,45316
1308.8,44515
1293.6,44039
1291.4,45816
1291.0,45888
1290.5,45241
1289.8,45244
1281.0,45826
1272.7,45780
1263.4,43617
1262.7,44510
1259.5,45884
1258.5,43008
1258.1,44131
1242.8,45876
1242.6,45324
1240.0,44640
1238.9,45050
1238.7,44114
1233.9,43036
1233.2,45352
1231.4,45032
1231.3,45310
1210.6,44067
1205.9,44223
1197.4,45245
1193.7,44278
1174.1,44613
1173.8,45853
1168.0,44056
1167.0,45066
1166.4,45506
1162.9,44720
1153.6,44506
1153.5,45384
1151.5,43035
1144.6,45140
1144.6,45787
1136.2,44490
1132.7,44087
1127.9,44203
1122.3,45011
1117.8,44505
1111.7,45434
1099.5,45716
1096.1,44905
1095.8,45131
1081.7,44319
1079.7,43054
1077.2,45322
1058.8,43525
1053.5,44139
1050.3,44685
1049.8,44437
1046.9,43974
1045.3,45247
1044.0,44011
1041.6,45342
1039.9,45819
1023.2,45034
1009.4,45164
1005.5,45102
1002.8,43322
999.0,45319
995.8,43553
994.6,43123
983.7,43330
980.2,44321
973.0,44706
969.7,44420
968.8,43971
965.0,44514
964.4,45417
962.2,45150
947.5,44240
930.8,45330
927.7,45001
924.8,44054
921.4,43033
918.0,44077
910.2,45414
907.2,45866
894.6,44094
884.2,43528
884.0,43836
881.4,43119
880.1,44721
876.1,43109
869.2,43948
859.2,45323
854.1,45226
831.4,45005
824.8,44906
824.5,44874
821.2,43926
819.8,45721
798.7,43126
795.6,44809
794.4,45779
780.8,45504
780.7,43151
779.3,43070
774.2,45426
773.4,43547
768.6,43738
766.0,45305
763.8,43736
762.4,43156
758.0,44690
749.8,45243
747.2,44241
745.5,45673
740.1,44236
739.2,43317
715.3,43952
713.3,44049
702.5,45067
697.8,43110
690.0,45350
687.6,43619
685.4,45351
684.9,45855
681.9,43931
679.9,44825
676.4,44838
675.2,45804
671.6,45377
